"","Site","Area","Transect","Plot","Subplot","Date","Species","plant_height","number_of_inflors","inflor_height","inflor_width","infvol","num_seeds2","subplot_num","Pollination.Experiment.Subplot..1...Yes..0...No.","X.Plectritis","X.Plectritis..including.pollinator.focal.plants.","X.Valerianella","X.Plectritis.1m.2..excluding.subplots.","X.Plectritis.1m.2..including.subplots.","X.Valerianella.1m.2","X.Valerianella.1m.2..including.subplots.","X.shrubcover.subplot","X.shrubcover.1m.2","X.grasscover.subplot","X.grasscover.1m.2","soil.depth.1","soil.depth.2","soil.depth.1..1m.2.","soil.depth.2..1m.2.","soil.moisture.1.7.6cm","soil.moisture.2.7.6cm","avg_soil_moisture_7.6cm","soil.moisture.1.7.6cm..1m.2.","soil.moisture.2.7.6cm..1m.2.","soil.moisture.1.12cm","soil.moisture.2.12cm","avg_soil_moisture_12cm","soil.moisture.1.12cm..1m.2.","soil.moisture.2.12cm..1m.2.","flowering.sps.subplot..id.s.","flowering.sps.subplot..richness.","flowering.sps.1m.2..id.s.","flowering.sps.1m.2..richness.","X..flowering.infloresences.in.subplot","species.richnesss.subplot..id.s.","species.richnesss.subplot","species.richnesss.subplot..1m.2...id.s.","species.richness..1m.2.","observation"
"16","Cowichan","Collins Field",3,2,"B","5/30/2017","VALO",10.85,1.5,NA,0.8,0.134041286553165,30.0535175633951,16,0,22,22,2,541,600,28,33,0,0,0,5,">12","7<x<12",">12",">12","15.4","11.5","13.45","17.4","16.4","29.7",NA,"29.7","25.7","22.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"17","Cowichan","Collins Field",3,3,"A","5/30/2017","VALO",11.1666666666667,2,NA,0.5,0.0327249234748937,30.4598735860577,17,1,48,50,3,548,655,9,12,0,0,3,10,">12",">12",">12",">12","14.9","14.9","14.9","11.5","14.4","17.4","23.3","20.35","17.9","20.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"18","Cowichan","Collins Field",3,3,"B","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,18,0,57,57,0,548,655,9,12,0,0,10,10,">12",">12",">12",">12","12.5","19.8","16.15","11.5","14.4","26.7","18.4","22.55","17.9","20.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"19","Cowichan","Collins Field",4,1,"A","5/30/2017","VALO",15,1,NA,0.7,0.0897971900151082,33.9448671958887,19,1,10,12,0,121,134,8,12,0,0,75,75,">12",">12",">12",">12","19.8","17.4","18.6","15.9","17.9","30.1","30.1","30.1","31.6","29.7",NA,NA,NA,NA,4,NA,NA,NA,NA,19
"20","Cowichan","Collins Field",4,1,"B","5/30/2018","VALO",13.25,1.25,NA,0.775,0.12186352440507,32.4036682697336,20,0,1,1,4,NA,134,NA,12,0,0,60,75,">12",">12",">12",">12","16.9","11","13.95","15.9","17.9","17.9","24.3","21.1","31.6","29.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"21","Cowichan","Collins Field",4,2,"A","5/30/2017","VALO",9.5,1,NA,0.7,0.0897971900151082,27.8519432301315,21,1,28,30,0,319,372,18,21,0,0,50,60,">12",">12",">12",">12","17.4","14.9","16.15","17.4","15.9","17.9","30.1","24","34.1","35.5",NA,NA,NA,NA,NA,"Plectritis congesta, Valerianella locusta, Lomatium utriculatum, Anthoxanthum, Bromus carinatus, Geranium molle, Poa , Bromus tectorum, Gallium .",9,"Plectritis congesta, Valerianella locusta, Lomatium utriculatum, Anthoxanthum, Bromus carinatus, Geranium molle, Poa praetense, Bromus tectorum, Gallium , Dactylis, Claytonia perf, Dodecatheon , Cerastium arvense, Vicia purple, Achillea, Sanicula",16,21
"22","Cowichan","Collins Field",4,2,"B","5/30/2017","VALO",21.8333333333333,2.66666666666667,NA,1.03333333333333,0.288861687478684,44.0988468294802,22,0,23,23,3,319,372,18,21,0,0,40,60,">12",">12",">12",">12","21.3","16.9","19.1","17.4","15.9","17.9","24.3","21.1","34.1","35.5",NA,NA,NA,NA,NA,"Dactylis, Plectritis congesta, Valerianella locusta, Claytonia perf, Dodecatheon , Poa",6,"Plectritis congesta, Valerianella locusta, Lomatium utriculatum, Anthoxanthum, Bromus carinatus, Geranium molle, Poa , Bromus tectorum, Gallium , Dactylis, Plectritis congesta, Valerianella locusta, Claytonia perf, Dodecatheon , Poa, Cerastium arvense, Vicia purple, Achillea, Sanicula",16,22
"23","Cowichan","Collins Field",4,3,"A","5/30/2017","VALO",NA,NA,NA,NA,NA,NA,23,1,23,25,2,479,504,25,27,0,0,50,50,">12",">12",">12",">12","18.4","18.4","18.4","23.8","17.9","22.3","21.8","22.05","34.1","15.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"24","Cowichan","Collins Field",4,3,"B","5/30/2017","VALO",21,4.33333333333333,NA,0.866666666666667,0.170421705183624,44.3407813961792,24,0,NA,0,NA,NA,504,NA,27,0,0,NA,NA,NA,NA,">12",">12",NA,NA,"#DIV/0!","23.8","17.9",NA,NA,"#DIV/0!","34.1","15.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"25","Cowichan","Drought Shelter Field",1,1,"A","5/23/2017","VALO",NA,NA,NA,NA,NA,NA,25,1,11,13,0,132,149,0,0,0,0,0,15,"<7","<7",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"26","Cowichan","Drought Shelter Field",1,1,"B","5/25/2017","VALO",NA,NA,NA,NA,NA,NA,26,0,4,4,0,132,149,0,0,0,0,1,15,"7<x<12","<7",NA,NA,"12",NA,"12",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"27","Cowichan","Drought Shelter Field",1,2,"A","5/23/2017","VALO",NA,NA,NA,NA,NA,NA,27,1,34,36,0,331,384,0,0,0,7,1,15,"<7","<7",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"28","Cowichan","Drought Shelter Field",1,2,"B","5/25/2017","VALO",NA,NA,NA,NA,NA,NA,28,0,17,17,0,331,384,0,0,NA,NA,25,15,"7<x<12","7<x<12",NA,NA,"21.3","13.9","17.6",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"29","Cowichan","Drought Shelter Field",1,3,"A","5/23/2017","VALO",NA,NA,NA,NA,NA,NA,29,1,35,37,0,554,688,0,0,0,1,5,25,"<7","<7",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"30","Cowichan","Drought Shelter Field",1,3,"B","5/25/2017","VALO",NA,NA,NA,NA,NA,NA,30,0,97,97,0,554,688,0,0,NA,NA,80,25,"7<x<12","7<x<12",NA,NA,"16.9","13","14.95",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"31","Cowichan","Drought Shelter Field",2,1,"A","5/23/2017","VALO",6,1,NA,0.3,0.00706858347057703,23.6049266542967,31,1,6,8,1,40,49,56,60,0,15,5,45,">12",">12",">12",">12","14.9","13.5","14.2",NA,NA,"22.8","26.7","24.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"32","Cowichan","Drought Shelter Field",2,1,"B","5/25/2017","VALO",7.375,1.5,NA,0.45,0.0238564692131975,25.7114985444426,32,0,1,1,3,40,49,56,60,NA,NA,25,45,">12",">12",">12",">12","17.4","15.4","16.4",NA,NA,"28.7","24.3","26.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"33","Cowichan","Drought Shelter Field",2,2,"A","5/23/2017","VALO",8,2,NA,0.4,0.0167551608191456,26.8804600592619,33,1,39,41,1,233,295,17,27,0,7,5,10,"7<x<12","7<x<12",NA,NA,"13.5","9","11.25",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"34","Cowichan","Drought Shelter Field",2,2,"B","5/25/2017","VALO",6.33333333333333,1.55555555555556,NA,0.455555555555556,0.0247509953450002,24.6180129973158,34,0,21,21,9,233,295,17,27,NA,NA,1,10,"7<x<12","7<x<12",NA,NA,"13.9","14.4","14.15",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"35","Cowichan","Drought Shelter Field",2,3,"A","5/23/2017","VALO",19.5,4,NA,1,0.261799387799149,42.7485486069299,35,1,21,23,1,147,188,15,16,0,4,5,8,"7<x<12","7<x<12",NA,NA,"13.5","13","13.25",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"36","Cowichan","Drought Shelter Field",2,3,"B","5/25/2017","VALO",NA,NA,NA,NA,NA,NA,36,0,18,18,0,147,188,15,16,NA,NA,1,8,">12",">12",NA,NA,"13.5","14.4","13.95",NA,NA,"23.8","25.2","24.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"37","Cowichan","Drought Shelter Field",3,1,"A","5/23/2017","VALO",13.6111111111111,1.77777777777778,NA,0.722222222222222,0.0986236719812639,33.2364117840075,37,1,24,26,9,284,310,97,123,10,12,0,2,"7<x<12","7<x<12",NA,NA,"15.4","11","13.2",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"38","Cowichan","Drought Shelter Field",3,1,"B","5/25/2017","VALO",19.45,4.2,NA,0.79,0.129077308361105,42.3033713550121,38,0,0,0,17,284,310,97,123,NA,NA,0,2,"7<x<12","7<x<12",NA,NA,"13.9","13.5","13.7",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"39","Cowichan","Drought Shelter Field",3,2,"A","5/23/2017","VALO",12.5,2,NA,0.75,0.110446616727766,32.2842722677606,39,1,17,19,2,150,171,19,21,0,8,1,3,">12",">12",NA,NA,"17.9","16.4","17.15",NA,NA,"25.2","25.2","25.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"40","Cowichan","Drought Shelter Field",3,2,"B","5/25/2017","VALO",NA,NA,NA,NA,NA,NA,40,0,2,2,0,150,171,19,21,NA,NA,0,3,">12",">12",NA,NA,"17.9","23.8","20.85",NA,NA,"28.7","26.7","27.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"41","Cowichan","Drought Shelter Field",3,3,"A","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,41,1,25,27,0,288,322,4,5,0,3,2,5,"7<x<12","7<x<12",NA,NA,"16.4","17.9","17.15",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"42","Cowichan","Drought Shelter Field",3,3,"B","5/25/2017","VALO",16,1,NA,0.8,0.134041286553165,35.2503915656656,42,0,7,7,1,288,322,4,5,NA,NA,0,5,">12","7<x<12",NA,NA,"18.9","15.9","17.4",NA,NA,"30.1",NA,"30.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"43","Cowichan","Drought Shelter Field",4,1,"A","5/24/2017","VALO",9.95,2.2,NA,0.71,0.0937008806865813,29.5878644318928,43,1,12,14,7,122,147,79,90,0,0,1,1,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"44","Cowichan","Drought Shelter Field",4,1,"B","5/25/2017","VALO",8.625,2.75,NA,0.525,0.0378831895376238,28.4297333270555,44,0,11,11,4,122,147,79,90,NA,NA,3,1,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"45","Cowichan","Drought Shelter Field",4,2,"A","5/24/2017","VALO",10.5,2,NA,0.7,0.0897971900151082,29.9763844643279,45,1,19,21,5,225,248,59,82,0,0,1,1,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"46","Cowichan","Drought Shelter Field",4,2,"B","5/25/2017","VALO",16.6,4,NA,1.06,0.311807259658992,39.7593934016954,46,0,2,2,18,225,248,59,82,NA,NA,0,1,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"47","Cowichan","Drought Shelter Field",4,3,"A","5/24/2017","VALO",10.375,2,NA,0.7875,0.12785576468948,30.0079867931776,47,1,10,12,12,95,115,65,83,0,0,5,7,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"48","Cowichan","Drought Shelter Field",4,3,"B","5/25/2017","VALO",11.5,2.83333333333333,NA,0.766666666666667,0.117974561161194,32.0573065249853,48,0,8,8,6,95,115,65,83,NA,NA,10,7,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"49","Cowichan","Drought Shelter Field",5,1,"A","5/31/2017","VALO",21.85,7.2,NA,1.17,0.419301302891159,49.3089785081802,49,0,0,0,16,7,7,80,105,NA,NA,20,25,">12",">12",">12",">12","14.9","14.9","14.9","11.5","14.9","20.3","21.3","20.8","26.4","23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"50","Cowichan","Drought Shelter Field",5,1,"B","5/31/2017","VALO",19.6666666666667,6,NA,1.07777777777778,0.327760264280951,45.2612253572657,50,0,0,0,9,7,7,80,105,NA,NA,15,15,">12",">12",">12",">12","18.9","13.9","16.4","11.5","14.9","25.2","21.8","23.5","26.4","23.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"51","Cowichan","Drought Shelter Field",5,2,"A","5/31/2017","VALO",15.125,4,NA,1.075,0.325232561339796,38.1853775676462,51,0,0,0,7,2,2,20,32,NA,NA,2,50,">12",">12",">12",">12","8.5","5.6","7.05","11","7.6","16.9","13.5","15.2","23.3","10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"52","Cowichan","Drought Shelter Field",5,2,"B","5/31/2017","VALO",19.6428571428571,8,NA,1.18571428571429,0.43642415904231,47.7537249262089,52,0,0,0,5,2,2,20,32,NA,NA,2,50,">12",">12",">12",">12","11","7.6","9.3","11","7.6","21.8","14.4","18.1","23.3","10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"53","Cowichan","Drought Shelter Field",5,3,"A","5/31/2017","VALO",NA,NA,NA,NA,NA,NA,53,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"54","Cowichan","Drought Shelter Field",5,3,"B","5/31/2017","VALO",NA,NA,NA,NA,NA,NA,54,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"55","Cowichan","Drought Shelter Field",6,1,"A","5/31/2017","VALO",16.87,2.4,NA,0.68,0.0823181051044622,37.4063301000704,55,0,0,0,10,0,74,74,87,NA,NA,20,20,"<7",">12",">12",">12",NA,"17.9","17.9","23.3","38",NA,"26.7","26.7","59.1","34.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,55
"56","Cowichan","Drought Shelter Field",6,1,"B","5/31/2017","VALO",16.5333333333333,6,NA,0.9,0.19085175370558,41.178282115857,56,0,0,0,3,0,74,74,87,NA,NA,5,20,">12","7<x<12",">12",">12","22.8","18.9","20.85","23.3","38","26.2",NA,"26.2","59.1","34.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"57","Cowichan","Drought Shelter Field",6,2,"A","5/31/2017","VALO",22.4,4,NA,1.3,0.575173254994731,47.3616005026079,57,0,0,0,1,0,0,3,4,NA,NA,40,75,"<7","7<x<12","7<x<12",">12",NA,"19.8","19.8","26.2","18.4",NA,NA,"#DIV/0!","36.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
"58","Cowichan","Drought Shelter Field",6,2,"B","5/31/2017","VALO",NA,NA,NA,NA,NA,NA,58,0,0,0,0,0,0,3,4,NA,NA,95,75,"<7","7<x<12","7<x<12",">12",NA,"15.9","15.9","26.2","18.4",NA,NA,"#DIV/0!","36.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
"59","Cowichan","Drought Shelter Field",6,3,"A","5/31/2017","VALO",NA,NA,NA,NA,NA,NA,59,0,7,7,0,31,52,0,0,NA,NA,1,3,">12",">12",">12",">12","17.4","17.4","17.4","18.4","15.4","22.8","27.2","25","24.7","23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"60","Cowichan","Drought Shelter Field",6,3,"B","5/31/2017","VALO",NA,NA,NA,NA,NA,NA,60,0,14,14,0,31,52,0,0,NA,NA,1,3,">12",">12",">12",">12","14.4","13.9","14.15","18.4","15.4","20.3","27.2","23.75","24.7","23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"61","Cowichan","Drought Shelter Field",7,1,"A","5/31/2017","VALO",16.5,4.4,NA,0.87,0.172395682263903,39.4322589773472,61,0,0,0,33,0,0,158,216,NA,NA,15,40,">12",">12",">12",">12","18.4","16.9","17.65","15.4","19.3","24.7","26.2","25.45","25.7","31.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"62","Cowichan","Drought Shelter Field",7,1,"B","5/31/2017","VALO",19.55,5.7,NA,1.03,0.286075259631601,44.6407066253172,62,0,0,0,25,0,0,158,216,NA,NA,75,40,">12",">12",">12",">12","18.9","17.4","18.15","15.4","19.3","25.7","31.1","28.4","25.7","31.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"63","Cowichan","Drought Shelter Field",7,2,"A","5/31/2017","VALO",18.25,4.4,NA,0.86,0.166519071405976,41.3446549393977,63,0,0,0,20,0,0,77,111,NA,NA,1,15,">12","<7`",">12",">12","19.3",NA,"19.3","17.4","16.4","30.1",NA,"30.1","22.8","25.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"64","Cowichan","Drought Shelter Field",7,2,"B","5/31/2017","VALO",21.55,5.4,NA,1.1,0.348454985160668,46.8300896055437,64,0,0,0,14,0,0,77,111,NA,NA,1,15,">12","<7",">12",">12","9",NA,"9","17.4","16.4","20.3",NA,"20.3","22.8","25.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"65","Cowichan","Drought Shelter Field",7,3,"A","5/31/2017","VALO",18.9,4,NA,1.05,0.30306551630099,42.2682779270947,65,0,0,0,46,6,6,78,130,NA,NA,5,50,"7<x<12",">12",">12",">12","14.4","15.9","15.15","9.5","19.8",NA,"26.7","26.7","15.9","26.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"66","Cowichan","Drought Shelter Field",7,3,"B","5/31/2017","VALO",14.9166666666667,3.66666666666667,NA,0.766666666666667,0.117974561161194,36.6895021434593,66,0,0,0,6,6,6,78,130,NA,NA,10,50,"<7",">12",">12",">12",NA,"10.5","10.5","9.5","19.8",NA,"22.3","22.3","15.9","26.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"67","Cowichan","Roadside",1,1,"A","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,67,0,83,83,0,828,923,2,2,NA,NA,NA,NA,"7<x<12","<7","7<x<12","7<x<12","5.6",NA,"5.6","18.4","9",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
"68","Cowichan","Roadside",1,1,"B","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,68,0,12,12,0,828,923,2,2,NA,NA,NA,NA,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","18.4","9",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
"69","Cowichan","Roadside",1,2,"A","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,69,0,16,16,1,209,235,0,1,NA,NA,NA,NA,"7<x<12","7<x<12","<7","<7","13.9","13","13.45",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"70","Cowichan","Roadside",1,2,"B","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,70,0,10,10,0,209,235,0,1,NA,NA,NA,NA,"7<x<12","<7","<7","<7","19.3",NA,"19.3",NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"71","Cowichan","Roadside",1,3,"A","5/24/2017","VALO",NA,NA,NA,NA,NA,NA,71,0,32,32,0,698,777,0,0,NA,NA,NA,NA,"<7","<7","7<x<12","7<x<12",NA,NA,"#DIV/0!","13","8.1",NA,NA,"#DIV/0!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
